"Part";"Value";"Device";"Package";"Description";"FARNELLNRO";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"R17";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R18";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R19";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R20";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R21";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R22";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R23";"5K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R24";"5K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R25";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R26";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R27";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R28";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R29";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R30";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R31";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R32";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R33";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R34";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R35";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R36";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R37";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R38";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R39";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R40";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R41";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R42";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R43";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
